country,iso,lat,lng
Chad,TCD,15.454166,18.732207
Togo,TGO,8.619543,0.824782
Tokelau,TKL,-9.2002,-171.8484
Uganda,UGA,1.373333,32.290275
Malawi,MWI,-13.254308,34.301525
Portugal,PRT,39.399872,-8.224454
Syrian Arab Republic,SYR,34.802075,38.996815
Uruguay,URY,-32.522779,-55.765835
Lesotho,LSO,-29.609988,28.233608
Madagascar,MDG,-18.766947,46.869107
Nigeria,NGA,9.081999,8.675277
Suriname,SUR,3.919305,-56.027783
Israel,ISR,31.046051,34.851612
Romania,ROU,45.943161,24.96676
Kiribati,KIR,-3.370417,-168.734039
Tuvalu,TUV,-7.109535,177.64933
Iceland,ISL,64.963051,-19.020835
Rwanda,RWA,-1.940278,29.873888
Sierra Leone,SLE,8.460555,-11.779889
Sweden,SWE,60.128161,18.643501
Oman,OMN,21.4735329,55.975413
Poland,POL,51.919438,19.145136
Réunion,REU,-21.115141,55.536384
Maldives,MDV,3.202778,73.22068
Venezuela (Bolivarian Republic of),VEN,6.42375,-66.58973
Vanuatu,VUT,-15.376706,166.959158
South Africa,ZAF,-30.559482,22.937506
Viet Nam,VNM,14.058324,108.277199
Saint Vincent and the Grenadines,VCT,12.984305,-61.287228
Yugoslavia,YUG,42.7833302,19.4666648
Samoa,WSM,-13.759029,-172.104629
Wallis and Futuna,WLF,-14.2938,-178.1165
Congo (the Democratic Republic of the),COD,-4.038333,21.758664
Yemen Arab Rep,YMN,15.552727,48.516388
Yemen P Dem Rep,YMD,15.552727,48.516388
Zimbabwe,ZWE,-19.015438,29.154857
Zambia,ZMB,-13.133897,27.849332
Guinea,GIN,9.945587,-9.696645
Angola,AGO,-11.202692,17.873887
Germany Dem Rep,DDR,51.165691,10.451526
Bermuda,BMU,32.3078,-64.7505
Bhutan,BTN,27.514162,90.433601
Micronesia (Federated States of),FSM,7.425554,150.550812
Gabon,GAB,-0.803689,11.609444
Liberia,LBR,6.428055,-9.429499
Namibia,NAM,-22.95764,18.49041
Ireland,IRL,53.1423672,-7.6920536
Luxembourg,LUX,49.815273,6.129583
"Palestine, State of",PSE,31.952162,35.233154
Cambodia,KHM,12.565679,104.990963
Korea (the Democratic People's Republic of),PRK,37.6639976,127.9784585
Eswatini,SWZ,-26.522503,31.465866
Sao Tome and Principe,STP,0.18636,6.613081
Turks and Caicos Islands (the),TCA,21.694025,-71.797928
Germany,DEU,51.165691,10.451526
Belarus,BLR,53.709807,27.953389
Montserrat,MSR,16.742498,-62.187366
Finland,FIN,61.92411,25.748151
Norway,NOR,60.472024,8.468946
Georgia,GEO,32.1656221,-82.9000751
Marshall Islands (the),MHL,7.131474,171.184478
Kyrgyzstan,KGZ,41.20438,74.766098
Lithuania,LTU,55.169438,23.881275
Russian Federation (the),RUS,61.52401,105.318756
Eritrea,ERI,15.179384,39.782334
Macedonia (the former Yugoslav Republic of),MKD,41.608635,21.745275
Kazakhstan,KAZ,48.019573,66.923684
Macao,MAC,22.198745,113.543873
Virgin Island (U.S.),VIR,18.335765,-64.896335
Tajikistan,TJK,38.861034,71.276093
Yemen,YEM,15.552727,48.516388
Uzbekistan,UZB,41.377491,64.585262
Serbia Montenegro,SCG,44.016521,21.005859
Ukraine,UKR,48.379433,31.16558
Turkmenistan,TKM,38.969719,59.556278
Azerbaijan,AZE,40.143105,47.576927
Armenia,ARM,40.069099,45.038189
Brunei Darussalam,BRN,4.535277,114.727669
Moldova (the Republic of),MDA,47.411631,28.369885
Czech Republic (the),CZE,49.817492,15.472962
French Guiana,GUF,3.933889,-53.125782
Croatia,HRV,45.1,15.2
Kuwait,KWT,29.31166,47.481766
Virgin Island (British),VGB,18.420695,-64.639968
Slovakia,SVK,48.669026,19.699024
Seychelles,SYC,-4.679574,55.491977
Slovenia,SVN,46.151241,14.995463
Bosnia and Herzegovina,BIH,43.915886,17.679076
Latvia,LVA,56.879635,24.603189
Singapore,SGP,1.352083,103.819836
Cayman Islands (the),CYM,19.3133,-81.2546
"Saint Helena, Ascension and Tristan da Cunha",SHN,-15.9583317,-5.7019989
Timor-Leste,TLS,-8.874217,125.727539
Northern Mariana Islands (the),MNP,15.0979,145.6739
Equatorial Guinea,GNQ,1.650801,10.267895
Estonia,EST,58.595272,25.013607
Montenegro,MNE,42.708678,19.37439
Serbia,SRB,44.016521,21.005859
South Sudan,SSD,6.8769919,31.3069788
Palau,PLW,7.51498,134.58252
United Arab Emirates (the),ARE,23.424076,53.847818
Qatar,QAT,25.354826,51.183884
Saint Barthélemy,BLM,17.9,-62.833333
Saint Martin (French Part),MAF,18.08255,-63.052251
Sint Maarten (Dutch part),SXM,18.04248,-63.05483
Isle of Man,IMN,54.236107,-4.548056
